ObjectId,service_date,line,estimated_boardings
1,2020/06/22 04:00:00+00,Providence/Stoughton,447
2,2020/06/22 04:00:00+00,Newburyport/Rockport,697
3,2020/06/22 04:00:00+00,Framingham/Worcester,33
4,2020/06/22 04:00:00+00,Franklin/Foxboro,276
5,2020/06/22 04:00:00+00,Middleborough/Lakeville,601
6,2020/06/22 04:00:00+00,Lowell,421
7,2020/06/22 04:00:00+00,Haverhill,332
8,2020/06/22 04:00:00+00,Kingston,410
9,2020/06/22 04:00:00+00,Needham,55
10,2020/06/22 04:00:00+00,Fitchburg,486
11,2020/06/22 04:00:00+00,Greenbush,176
12,2020/06/22 04:00:00+00,Fairmount,157
13,2020/06/23 04:00:00+00,Providence/Stoughton,981
14,2020/06/23 04:00:00+00,Newburyport/Rockport,1137
15,2020/06/23 04:00:00+00,Framingham/Worcester,183
16,2020/06/23 04:00:00+00,Franklin/Foxboro,567
17,2020/06/23 04:00:00+00,Middleborough/Lakeville,752
18,2020/06/23 04:00:00+00,Lowell,607
19,2020/06/23 04:00:00+00,Haverhill,453
20,2020/06/23 04:00:00+00,Kingston,505
21,2020/06/23 04:00:00+00,Needham,85
22,2020/06/23 04:00:00+00,Fitchburg,546
23,2020/06/23 04:00:00+00,Greenbush,245
24,2020/06/23 04:00:00+00,Fairmount,168
25,2020/06/24 04:00:00+00,Providence/Stoughton,1311
26,2020/06/24 04:00:00+00,Newburyport/Rockport,1050
27,2020/06/24 04:00:00+00,Framingham/Worcester,183
28,2020/06/24 04:00:00+00,Franklin/Foxboro,577
29,2020/06/24 04:00:00+00,Middleborough/Lakeville,771.5
30,2020/06/24 04:00:00+00,Lowell,600
31,2020/06/24 04:00:00+00,Haverhill,455
32,2020/06/24 04:00:00+00,Kingston,432.5
33,2020/06/24 04:00:00+00,Needham,204
34,2020/06/24 04:00:00+00,Fitchburg,508
35,2020/06/24 04:00:00+00,Greenbush,245
36,2020/06/24 04:00:00+00,Fairmount,221
37,2020/06/25 04:00:00+00,Providence/Stoughton,1283
38,2020/06/25 04:00:00+00,Newburyport/Rockport,1223
39,2020/06/25 04:00:00+00,Framingham/Worcester,183
40,2020/06/25 04:00:00+00,Franklin/Foxboro,590
41,2020/06/25 04:00:00+00,Middleborough/Lakeville,787
42,2020/06/25 04:00:00+00,Lowell,658
43,2020/06/25 04:00:00+00,Haverhill,585
44,2020/06/25 04:00:00+00,Kingston,496
45,2020/06/25 04:00:00+00,Needham,257
46,2020/06/25 04:00:00+00,Fitchburg,531
47,2020/06/25 04:00:00+00,Greenbush,254
48,2020/06/25 04:00:00+00,Fairmount,234
49,2020/06/26 04:00:00+00,Providence/Stoughton,1239
50,2020/06/26 04:00:00+00,Newburyport/Rockport,1149.5
51,2020/07/28 04:00:00+00,Providence/Stoughton,2844
52,2020/07/28 04:00:00+00,Newburyport/Rockport,1523.5
53,2020/07/28 04:00:00+00,Framingham/Worcester,1508.5
54,2020/07/28 04:00:00+00,Franklin/Foxboro,1417
55,2020/07/28 04:00:00+00,Middleborough/Lakeville,1025
56,2020/07/28 04:00:00+00,Lowell,921
57,2020/07/28 04:00:00+00,Haverhill,656
58,2020/07/28 04:00:00+00,Kingston,702
59,2020/07/28 04:00:00+00,Needham,501
60,2020/07/28 04:00:00+00,Fitchburg,617.5
61,2020/07/28 04:00:00+00,Greenbush,295
62,2020/07/28 04:00:00+00,Fairmount,370.5
63,2020/07/29 04:00:00+00,Providence/Stoughton,2640.5
64,2020/07/29 04:00:00+00,Newburyport/Rockport,1560.5
65,2020/07/29 04:00:00+00,Framingham/Worcester,1470
66,2020/07/29 04:00:00+00,Franklin/Foxboro,1343
67,2020/07/29 04:00:00+00,Middleborough/Lakeville,994
68,2020/07/29 04:00:00+00,Lowell,926.5
69,2020/07/29 04:00:00+00,Haverhill,666
70,2020/07/29 04:00:00+00,Kingston,708
71,2020/07/29 04:00:00+00,Needham,551.5
72,2020/07/29 04:00:00+00,Fitchburg,597
